url,updated,lastChecked,diffSummary
https://www.gsa.state.al.us/ogb,False,2025-08-18T04:22:17.572372Z,No change detected
https://www.gsa.state.al.us/ogb/wells,False,2025-08-18T04:22:17.860095Z,No change detected
https://adem.alabama.gov/air/air-permitting,False,2025-08-18T04:22:18.416661Z,No change detected
https://adem.alabama.gov/air,False,2025-08-18T04:22:18.845086Z,No change detected
https://adem.alabama.gov/water/npdes-programs/npdes-permits,False,2025-08-18T04:22:19.326492Z,No change detected
https://adem.alabama.gov/water/npdes-programs/construction-general-permit,False,2025-08-18T04:22:19.818597Z,No change detected
https://www.epa.gov/npdes-permits/alabama-npdes-permits,False,2025-08-18T04:22:19.941638Z,No change detected
https://psc.alabama.gov/gas-pipeline-safety/,False,2025-08-18T04:22:20.195166Z,No change detected
https://apsc.alabama.gov/Energy/GPS/gas_pipeline_safety_section.htm,False,2025-08-18T04:22:20.318713Z,
https://www.jcdh.org/SitePages/Misc/TitleVAirPermits.aspx,False,2025-08-18T04:22:20.681917Z,No change detected
https://www.jcdh.org/SitePages/Programs-Services/EnvironmentalHealth/Air-RadiationProtectionDivision/RegAirFac.aspx,False,2025-08-18T04:22:20.971034Z,No change detected
https://www.huntsvilleal.gov/environment/air-quality/air-quality-permits/,False,2025-08-18T04:22:21.190110Z,
https://www.huntsvilleal.gov/environment/air-quality/air-quality-permits/air-permit/,False,2025-08-18T04:22:21.404048Z,
https://www.huntsvilleal.gov/business/licensing-permits/environment-licenses/air-permits/,False,2025-08-18T04:22:21.622452Z,
