url,updated,lastChecked,diffSummary
https://www.psc.state.md.us/gas/natural-gas-pipeline-safety-program/,False,2025-08-18T04:40:09.753297Z,
https://www.psc.state.md.us/gas/hazardous-liquid-pipeline-safety-program/,False,2025-08-18T04:40:09.882914Z,
https://mde.maryland.gov/programs/Permits/AirManagementPermits/Pages/index.aspx,True,2025-08-18T04:40:10.459512Z,Updated
https://mde.maryland.gov/programs/permits/airmanagementpermits/pages/permitstoconstructandoperate.aspx,False,2025-08-18T04:40:10.766267Z,No change detected
https://mde.maryland.gov/programs/permits/airmanagementpermits/pages/title5_issued_permits.aspx,True,2025-08-18T04:40:11.382307Z,Updated
https://www.epa.gov/caa-permitting/caa-permitting-maryland,False,2025-08-18T04:40:11.500973Z,No change detected
https://www.epa.gov/npdes-permits/maryland-npdes-permits,False,2025-08-18T04:40:11.606572Z,No change detected
https://mde.maryland.gov/programs/permits/watermanagementpermits/pages/waterpermits.aspx,False,2025-08-18T04:40:11.975093Z,No change detected
https://mde.maryland.gov/programs/permits/pages/sb47.aspx,False,2025-08-18T04:40:12.546796Z,No change detected
https://mdedataviewer.mde.state.md.us/Public/,False,2025-08-18T04:40:12.911763Z,No change detected
https://mde.maryland.gov/programs/water/wetlandsandwaterways/pages/czm.aspx,False,2025-08-18T04:40:13.328210Z,No change detected
https://dnr.maryland.gov/ccs/pages/md-coastal-zone.aspx,False,2025-08-18T04:40:13.908464Z,No change detected
