url,updated,lastChecked,diffSummary
https://www.nogcc.ne.gov/,False,2025-08-18T04:44:20.732777Z,
https://dee.nebraska.gov/air/air-permitting/,False,2025-08-18T04:44:20.934754Z,No change detected
https://dee.nebraska.gov/water-quality/water-quality-permitting/national-pollutant-discharge-elimination-systems-npdes-program,False,2025-08-18T04:44:21.085883Z,No change detected
https://www.epa.gov/npdes-permits/nebraska-npdes-permits,False,2025-08-18T04:44:21.194215Z,No change detected
https://sfm.nebraska.gov/fuels-safety/pipeline-safety,False,2025-08-18T04:44:21.339394Z,No change detected
https://psc.nebraska.gov/,False,2025-08-18T04:44:21.475888Z,No change detected
https://psc.nebraska.gov/sites/default/files/doc/administration/Updated_RRs/2024_Updates/Chapter%209%20-%20Natural%20Gas%20and%20Oil%20Pipelines%20Rules%20and%20Regulations_1.pdf,True,2025-08-18T04:44:22.971633Z,Updated
https://belf.nebraska.gov/oil_gas_leasing.html,False,2025-08-18T04:44:23.201529Z,No change detected
https://publicworks.cityofomaha.org/oaqc-omaha-air-quality-control/,False,2025-08-18T04:44:25.215472Z,No change detected
https://www.lincoln.ne.gov/City/Departments/Health-Department/Environmental/Air,True,2025-08-18T04:44:25.390489Z,Updated
