url,updated,lastChecked,diffSummary
https://www.oregon.gov/puc/safety/pages/gas-pipeline-safety.aspx,False,2025-08-18T04:46:53.805762Z,No change detected
https://www.oregon.gov/deq/aq/aqpermits/pages/default.aspx,False,2025-08-18T04:46:53.946385Z,No change detected
https://www.oregon.gov/deq/aq/aqpermits/pages/tvrule.aspx,False,2025-08-18T04:46:54.074526Z,No change detected
https://www.lrapa-or.gov/air-quality-protection/permitting-lane-county-sources/,False,2025-08-18T04:46:54.280547Z,
https://www.lrapa-or.gov/forms/,False,2025-08-18T04:46:54.525315Z,
https://www.oregon.gov/deq/wq/wqpermits/pages/default.aspx,False,2025-08-18T04:46:54.634736Z,No change detected
https://www.oregon.gov/deq/permits/pages/npdeswpcf-in-ydo.aspx,False,2025-08-18T04:46:54.752974Z,No change detected
https://www.epa.gov/npdes-permits/oregon-npdes-permits,False,2025-08-18T04:46:54.847722Z,No change detected
https://www.oregon.gov/deq/get-involved/pages/public-notices.aspx,False,2025-08-18T04:46:54.945912Z,No change detected
https://www.epa.gov/caa-permitting/clean-air-act-permitting-authorities-oregon,False,2025-08-18T04:46:55.055471Z,No change detected
https://www.oregon.gov/lcd/ocmp/pages/federal-consistency.aspx,False,2025-08-18T04:46:55.173316Z,No change detected
