url,updated,lastChecked,diffSummary
https://des.sc.gov/regulations/oil-and-gas-exploration-drilling-and-production,False,2025-08-18T04:47:38.805603Z,No change detected
https://des.sc.gov/sites/des/files/Library/Regulations/R.121-8.0_121-8.28.pdf,True,2025-08-18T04:47:39.058331Z,Updated
https://www.scstatehouse.gov/code/t48c043.php,True,2025-08-18T04:47:39.449408Z,Updated
https://des.sc.gov/programs/bureau-air-quality/air-quality-permits,False,2025-08-18T04:47:39.742196Z,No change detected
https://des.sc.gov/programs/bureau-air-quality/air-quality-permits/operating-permits-air,False,2025-08-18T04:47:40.073007Z,No change detected
https://des.sc.gov/permits-regulations/permit-central/all-forms-applications,False,2025-08-18T04:47:40.582756Z,No change detected
https://des.sc.gov/programs/bureau-water/national-pollutant-discharge-elimination-system-npdes,False,2025-08-18T04:47:40.920432Z,No change detected
https://des.sc.gov/programs/bureau-water/national-pollutant-discharge-elimination-system-npdes/npdes-overview,False,2025-08-18T04:47:41.169803Z,No change detected
https://des.sc.gov/programs/bureau-water/national-pollutant-discharge-elimination-system-npdes/npdes-general-permits,False,2025-08-18T04:47:41.433161Z,No change detected
https://des.sc.gov/programs/bureau-water/national-pollutant-discharge-elimination-system-npdes/npdes-permit-stormwater,False,2025-08-18T04:47:41.727412Z,No change detected
https://ors.sc.gov/safety/pipeline-safety,False,2025-08-18T04:47:41.864065Z,No change detected
https://www.epa.gov/npdes-permits/south-carolina-npdes-permits,False,2025-08-18T04:47:41.972504Z,No change detected
