url,updated,lastChecked,diffSummary
https://www.tn.gov/environment/mineral-geologic.html,True,2025-08-18T04:48:20.537599Z,Updated
https://www.tn.gov/environment/permit-permits/mineral-geologic.html,False,2025-08-18T04:48:21.111705Z,No change detected
https://www.tn.gov/environment/about-tdec/fin-financial-responsibility/financial-assurance/fin-financial-instruments-home/fin-oil-gas.html,False,2025-08-18T04:48:21.407768Z,No change detected
https://www.tn.gov/environment/permit-permits/air-permits.html,False,2025-08-18T04:48:21.697679Z,No change detected
https://www.tn.gov/environment/permit-permits/air-permits/operating/title5-operating.html,True,2025-08-18T04:48:23.274131Z,Updated
https://www.tn.gov/environment/permit-permits/water-permits1/npdes-permits1/national-pollutant-discharge-elimination-system--npdes--permit.html,False,2025-08-18T04:48:23.563431Z,No change detected
https://www.tn.gov/environment/permit-permits/water-permits1/npdes-permits.html,False,2025-08-18T04:48:23.893415Z,No change detected
https://www.epa.gov/npdes-permits/tennessee-npdes-permits,False,2025-08-18T04:48:24.024339Z,No change detected
https://www.tn.gov/tpuc/divisions/gas-pipeline-safety-division.html,False,2025-08-18T04:48:24.310486Z,No change detected
https://primis.phmsa.dot.gov/comm/FactSheets/States/TN_State_PL_Safety_Regulatory_Fact_Sheet.htm,False,2025-08-18T04:48:24.657285Z,No change detected
https://www.tn.gov/environment/about-tdec/boards-and-commissions/board-tennessee-board-of-water-quality--oil-and-gas.html,False,2025-08-18T04:48:24.986505Z,No change detected
